player,team,rnd,rating,acs,kd,kast,adr,kpr,apr,fkpr,fdpr,hs,cls,kmax,k,d,a,fk,fd
trexx,VIT,151,1.23,228,1.24,0.72,155,0.81,0.34,0.09,0.07,0.23,0.14,26,123,99,52,13,10
Derke,FNC,293,1.22,257.4,1.33,0.72,167,0.92,0.18,0.17,0.14,0.24,0.27,30,269,202,54,51,42
primmie,TLN,85,1.22,243,1.32,0.74,152.4,0.88,0.27,0.08,0.06,0.37,0.13,22,75,57,23,7,5
Chronicle,FNC,293,1.21,224.4,1.23,0.73,153.8,0.77,0.29,0.13,0.07,0.26,0.12,25,227,185,84,38,21
keznit,KRÜ,156,1.18,250.8,1.16,0.76,170.7,0.83,0.33,0.14,0.08,0.23,0.13,22,130,112,51,22,13
CHICHOO,EDG,449,1.18,221.5,1.24,0.76,144.5,0.79,0.29,0.11,0.06,0.29,0.16,27,353,284,129,50,26
Meteor,GEN,153,1.17,241.1,1.32,0.71,160.7,0.9,0.17,0.11,0.1,0.37,0.16,28,137,104,26,17,16
RieNs,TH,552,1.15,214.2,1.17,0.75,145,0.76,0.29,0.09,0.09,0.38,0.22,28,419,359,158,48,50
Smoggy,EDG,449,1.14,213.1,1.21,0.76,133.8,0.76,0.37,0.06,0.06,0.28,0.15,23,340,281,165,29,28
t3xture,GEN,153,1.14,242.6,1.17,0.69,157.2,0.84,0.18,0.18,0.14,0.25,0.19,24,128,109,27,28,21
aspas,LEV,407,1.14,220.5,1.19,0.74,146.9,0.8,0.17,0.15,0.1,0.28,0.16,29,326,274,68,61,42
zekken,SEN,361,1.12,252.2,1.17,0.71,161,0.89,0.26,0.2,0.18,0.23,0.27,27,323,275,94,73,66
TenZ,SEN,361,1.1,213.4,1.08,0.75,139.2,0.75,0.44,0.07,0.09,0.25,0.05,29,271,251,158,27,33
Kai,TE,208,1.1,213.9,1.1,0.7,145.8,0.76,0.17,0.14,0.13,0.29,0.04,25,158,143,36,29,26
ZmjjKK,EDG,449,1.1,250.8,1.2,0.69,160.6,0.88,0.21,0.23,0.19,0.24,0.17,28,394,329,95,105,85
Alfajer,FNC,293,1.09,209.7,1.11,0.73,145.3,0.75,0.23,0.09,0.07,0.32,0.19,25,220,198,68,27,20
Autumn,FPX,115,1.08,211.8,1.12,0.71,134.5,0.75,0.23,0.17,0.1,0.32,0.15,20,86,77,27,19,11
Shyy,KRÜ,156,1.07,211.1,1.16,0.69,139.9,0.78,0.26,0.13,0.12,0.27,0.24,23,121,104,40,21,18
yetujey,FUT,88,1.07,231.8,1.14,0.69,145,0.82,0.18,0.19,0.08,0.3,0,19,72,63,16,17,7
mindfreak,PRX,140,1.06,210.1,1.04,0.78,134.4,0.74,0.41,0.05,0.04,0.31,0.19,22,104,100,58,7,6
Kicks,VIT,151,1.05,187.1,0.92,0.72,120.2,0.63,0.5,0.06,0.07,0.24,0.22,22,95,103,75,9,11
Flashback,DRX,238,1.04,202.3,1.16,0.76,133.4,0.74,0.23,0.1,0.05,0.3,0.18,27,177,153,54,24,12
kiNgg,LEV,407,1.04,185.1,1.04,0.75,120.2,0.67,0.36,0.08,0.07,0.32,0.17,25,271,261,148,31,29
LuoK1ng,TE,208,1.04,201.6,1.1,0.74,131.3,0.75,0.35,0.07,0.04,0.33,0,27,155,141,73,15,9
heat,KRÜ,156,1.03,191.4,1.09,0.74,123.3,0.73,0.26,0.06,0.04,0.33,0.09,21,114,105,40,10,7
MaKo,DRX,238,1.02,192.7,0.99,0.77,124.9,0.66,0.4,0.07,0.08,0.27,0.17,21,157,158,95,16,19
BuZz,DRX,238,1.01,241.3,1.11,0.68,149.7,0.83,0.17,0.22,0.2,0.23,0.17,24,198,178,40,53,47
